Date,Open,High,Low,Close
05/11/22, 1821.85, 1845.53, 1790.46, 1793.82
05/10/22, 1842.73, 1857.95, 1810.94, 1828.92
05/09/22, 1858.22, 1858.22, 1813.13, 1820.62
05/06/22, 1876.30, 1895.97, 1852.67, 1878.14
05/05/22, 1944.92, 1944.92, 1866.59, 1885.85
05/04/22, 1902.49, 1963.89, 1888.05, 1960.14
05/03/22, 1896.07, 1912.03, 1887.57, 1900.89
05/02/22, 1878.14, 1897.92, 1851.27, 1895.12
04/29/22, 1936.98, 1943.06, 1875.70, 1879.57
04/28/22, 1923.02, 1965.65, 1909.24, 1955.25
04/27/22, 1905.78, 1930.71, 1892.67, 1902.07
04/26/22, 1950.95, 1950.95, 1899.10, 1899.18
04/25/22, 1937.12, 1961.31, 1915.78, 1959.89
04/22/22, 1997.14, 1998.41, 1943.25, 1945.39
04/21/22, 2041.54, 2055.91, 1994.24, 1998.81
04/20/22, 2040.13, 2046.56, 2021.24, 2026.70
04/19/22, 2004.04, 2041.12, 2003.19, 2036.89
04/18/22, 2000.93, 2013.82, 1994.16, 2005.40
04/14/22, 2033.65, 2038.24, 2003.53, 2004.50
04/13/22, 2008.36, 2037.09, 2005.91, 2033.32
04/12/22, 2031.94, 2044.71, 2002.83, 2010.81
04/11/22, 2041.53, 2043.81, 2015.40, 2017.30
04/08/22, 2062.25, 2073.12, 2051.75, 2056.65
04/07/22, 2054.91, 2076.45, 2042.53, 2066.33
04/06/22, 2067.97, 2070.74, 2044.80, 2058.36
04/05/22, 2109.44, 2118.74, 2080.73, 2085.59
04/04/22, 2092.05, 2115.48, 2088.49, 2115.09
04/01/22, 2089.82, 2093.63, 2073.27, 2091.39
03/31/22, 2119.68, 2119.68, 2085.75, 2085.75
03/30/22, 2129.33, 2130.93, 2110.63, 2120.72
03/29/22, 2123.76, 2136.16, 2114.92, 2133.22
03/28/22, 2091.24, 2110.33, 2081.65, 2110.20
03/25/22, 2083.41, 2096.13, 2072.74, 2091.42
03/24/22, 2059.43, 2082.86, 2056.53, 2082.63
03/23/22, 2065.99, 2073.82, 2051.79, 2052.07
03/22/22, 2051.40, 2080.67, 2051.40, 2075.90
03/21/22, 2047.72, 2057.00, 2029.99, 2048.02
03/18/22, 2019.39, 2049.27, 2010.75, 2048.30
03/17/22, 1992.38, 2022.59, 1986.86, 2021.98
03/16/22, 1965.73, 1998.41, 1947.69, 1997.93
03/15/22, 1915.72, 1957.96, 1915.66, 1953.78
03/14/22, 1921.60, 1944.70, 1904.87, 1908.79
03/11/22, 1960.81, 1966.12, 1923.26, 1925.35
03/10/22, 1951.23, 1955.90, 1929.10, 1951.52
03/09/22, 1935.42, 1969.62, 1935.42, 1960.93
03/08/22, 1922.27, 1958.78, 1900.47, 1908.60
03/07/22, 1978.20, 1978.20, 1921.20, 1921.92
03/04/22, 1988.85, 1988.85, 1961.01, 1979.06
03/03/22, 2018.75, 2027.60, 1990.08, 1998.38
03/02/22, 1985.67, 2018.21, 1982.41, 2011.60
03/01/22, 2001.65, 2009.32, 1966.24, 1979.09
02/28/22, 1996.76, 2013.57, 1979.82, 2008.16
02/25/22, 1973.27, 2010.52, 1966.65, 2010.13
02/24/22, 1900.02, 1971.14, 1884.04, 1968.78
